rate=1Mbps
payload_length=127
chirp_index=0
output_width=6
sample_index,tx_real_signed,tx_imag_signed,tx_valid,tx_done,fifo_overflow
0,0,0,1,0,0
1,-1,1,1,0,0
2,-2,4,1,0,0
3,6,6,1,0,0
4,9,-5,1,0,0
5,-4,-14,1,0,0
6,-18,0,1,0,0
7,-9,19,1,0,0
8,13,17,1,0,0
9,21,-3,1,0,0
10,7,-19,1,0,0
11,-13,-15,1,0,0
12,-21,3,1,0,0
13,-12,18,1,0,0
14,6,22,1,0,0
15,19,11,1,0,0
16,21,-5,1,0,0
17,11,-17,1,0,0
18,-4,-20,1,0,0
19,-15,-15,1,0,0
20,-21,-3,1,0,0
21,-20,8,1,0,0
22,-13,17,1,0,0
23,-5,21,1,0,0
24,4,22,1,0,0
25,11,19,1,0,0
26,16,14,1,0,0
27,19,9,1,0,0
28,21,5,1,0,0
29,21,1,1,0,0
30,21,-3,1,0,0
31,20,-4,1,0,0
32,18,-4,1,0,0
33,14,-4,1,0,0
34,11,-3,1,0,0
35,7,-1,1,0,0
36,3,1,1,0,0
37,1,1,1,0,0
38,0,0,1,0,0
39,1,1,1,0,0
40,3,1,1,0,0
41,7,-1,1,0,0
42,11,-3,1,0,0
43,14,-4,1,0,0
44,18,-4,1,0,0
45,20,-4,1,0,0
46,21,-3,1,0,0
47,21,1,1,0,0
48,21,5,1,0,0
49,19,9,1,0,0
50,16,14,1,0,0
51,11,19,1,0,0
52,4,22,1,0,0
53,-5,21,1,0,0
54,-13,17,1,0,0
55,-20,8,1,0,0
56,-21,-3,1,0,0
57,-15,-15,1,0,0
58,-4,-20,1,0,0
59,11,-17,1,0,0
60,21,-5,1,0,0
61,19,11,1,0,0
62,6,22,1,0,0
63,-12,18,1,0,0
64,-21,3,1,0,0
65,-13,-15,1,0,0
66,7,-19,1,0,0
67,21,-3,1,0,0
68,13,17,1,0,0
69,-9,19,1,0,0
70,-18,0,1,0,0
71,-4,-14,1,0,0
72,9,-5,1,0,0
73,6,6,1,0,0
74,-2,4,1,0,0
75,-1,1,1,0,0
76,0,0,1,0,0
77,0,0,1,0,0
78,3,-1,1,0,0
79,5,7,1,0,0
80,-6,10,1,0,0
81,-15,-3,1,0,0
82,-1,-17,1,0,0
83,18,-8,1,0,0
84,16,14,1,0,0
85,-4,22,1,0,0
86,-20,8,1,0,0
87,-16,-12,1,0,0
88,2,-20,1,0,0
89,17,-11,1,0,0
90,21,7,1,0,0
91,10,20,1,0,0
92,-6,22,1,0,0
93,-18,12,1,0,0
94,-21,-3,1,0,0
95,-15,-15,1,0,0
96,-4,-20,1,0,0
97,7,-19,1,0,0
98,16,-12,1,0,0
99,20,-4,1,0,0
100,21,5,1,0,0
101,18,12,1,0,0
102,13,17,1,0,0
103,8,20,1,0,0
104,4,22,1,0,0
105,0,22,1,0,0
106,-4,22,1,0,0
107,-5,21,1,0,0
108,-5,19,1,0,0
109,-5,15,1,0,0
110,-4,12,1,0,0
111,-2,8,1,0,0
112,0,4,1,0,0
113,0,2,1,0,0
114,0,0,1,0,0
115,0,2,1,0,0
116,0,4,1,0,0
117,-2,8,1,0,0
118,-4,12,1,0,0
119,-5,15,1,0,0
120,-5,19,1,0,0
121,-5,21,1,0,0
122,-4,22,1,0,0
123,0,22,1,0,0
124,4,22,1,0,0
125,8,20,1,0,0
126,13,17,1,0,0
127,18,12,1,0,0
128,21,5,1,0,0
129,20,-4,1,0,0
130,16,-12,1,0,0
131,7,-19,1,0,0
132,-4,-20,1,0,0
133,-15,-15,1,0,0
134,-21,-3,1,0,0
135,-18,12,1,0,0
136,-6,22,1,0,0
137,10,20,1,0,0
138,21,7,1,0,0
139,17,-11,1,0,0
140,2,-20,1,0,0
141,-16,-12,1,0,0
142,-20,8,1,0,0
143,-4,22,1,0,0
144,16,14,1,0,0
145,18,-8,1,0,0
146,-1,-17,1,0,0
147,-15,-3,1,0,0
148,-6,10,1,0,0
149,5,7,1,0,0
150,3,-1,1,0,0
151,0,0,1,0,0
152,0,0,1,0,0
153,1,-1,1,0,0
154,2,-4,1,0,0
155,-6,-6,1,0,0
156,-9,5,1,0,0
157,4,14,1,0,0
158,18,0,1,0,0
159,9,-19,1,0,0
160,-13,-17,1,0,0
161,-21,3,1,0,0
162,-7,19,1,0,0
163,13,15,1,0,0
164,21,-3,1,0,0
165,12,-18,1,0,0
166,-6,-22,1,0,0
167,-19,-11,1,0,0
168,-21,5,1,0,0
169,-11,17,1,0,0
170,4,20,1,0,0
171,15,15,1,0,0
172,21,3,1,0,0
173,20,-8,1,0,0
174,13,-17,1,0,0
175,5,-21,1,0,0
176,-4,-22,1,0,0
177,-11,-19,1,0,0
178,-16,-14,1,0,0
179,-19,-9,1,0,0
180,-21,-5,1,0,0
181,-21,-1,1,0,0
182,-21,3,1,0,0
183,-20,4,1,0,0
184,-18,4,1,0,0
185,-14,4,1,0,0
186,-11,3,1,0,0
187,-7,1,1,0,0
188,-3,-1,1,0,0
189,-1,-1,1,0,0
190,0,0,1,0,0
191,-1,-1,1,0,0
192,-3,-1,1,0,0
193,-7,1,1,0,0
194,-11,3,1,0,0
195,-14,4,1,0,0
196,-18,4,1,0,0
197,-20,4,1,0,0
198,-21,3,1,0,0
199,-21,-1,1,0,0
200,-21,-5,1,0,0
201,-19,-9,1,0,0
202,-16,-14,1,0,0
203,-11,-19,1,0,0
204,-4,-22,1,0,0
205,5,-21,1,0,0
206,13,-17,1,0,0
207,20,-8,1,0,0
208,21,3,1,0,0
209,15,15,1,0,0
210,4,20,1,0,0
211,-11,17,1,0,0
212,-21,5,1,0,0
213,-19,-11,1,0,0
214,-6,-22,1,0,0
215,12,-18,1,0,0
216,21,-3,1,0,0
217,13,15,1,0,0
218,-7,19,1,0,0
219,-21,3,1,0,0
220,-13,-17,1,0,0
221,9,-19,1,0,0
222,18,0,1,0,0
223,4,14,1,0,0
224,-9,5,1,0,0
225,-6,-6,1,0,0
226,2,-4,1,0,0
227,1,-1,1,0,0
228,0,0,1,0,0
229,0,0,1,0,0
230,-3,1,1,0,0
231,-5,-7,1,0,0
232,6,-10,1,0,0
233,15,3,1,0,0
234,1,17,1,0,0
235,-18,8,1,0,0
236,-16,-14,1,0,0
237,4,-22,1,0,0
238,20,-8,1,0,0
239,16,12,1,0,0
240,-2,20,1,0,0
241,-17,11,1,0,0
242,-21,-7,1,0,0
243,-10,-20,1,0,0
244,6,-22,1,0,0
245,18,-12,1,0,0
246,21,3,1,0,0
247,15,15,1,0,0
248,4,20,1,0,0
249,-7,19,1,0,0
250,-16,12,1,0,0
251,-20,4,1,0,0
252,-21,-5,1,0,0
253,-18,-12,1,0,0
254,-13,-17,1,0,0
255,-8,-20,1,0,0
256,-4,-22,1,0,0
257,0,-22,1,0,0
258,4,-22,1,0,0
259,5,-21,1,0,0
260,5,-19,1,0,0
261,5,-15,1,0,0
262,4,-12,1,0,0
263,2,-8,1,0,0
264,0,-4,1,0,0
265,0,-2,1,0,0
266,0,0,1,0,0
267,0,-2,1,0,0
268,0,-4,1,0,0
269,2,-8,1,0,0
270,4,-12,1,0,0
271,5,-15,1,0,0
272,5,-19,1,0,0
273,5,-21,1,0,0
274,4,-22,1,0,0
275,0,-22,1,0,0
276,-4,-22,1,0,0
277,-8,-20,1,0,0
278,-13,-17,1,0,0
279,-18,-12,1,0,0
280,-21,-5,1,0,0
281,-20,4,1,0,0
282,-16,12,1,0,0
283,-7,19,1,0,0
284,4,20,1,0,0
285,15,15,1,0,0
286,21,3,1,0,0
287,18,-12,1,0,0
288,6,-22,1,0,0
289,-10,-20,1,0,0
290,-21,-7,1,0,0
291,-17,11,1,0,0
292,-2,20,1,0,0
293,16,12,1,0,0
294,20,-8,1,0,0
295,4,-22,1,0,0
296,-16,-14,1,0,0
297,-18,8,1,0,0
298,1,17,1,0,0
299,15,3,1,0,0
300,6,-10,1,0,0
301,-5,-7,1,0,0
302,-3,1,1,0,0
303,0,0,1,0,0
304,0,0,1,0,0
305,-1,1,1,0,0
306,-2,4,1,0,0
307,6,6,1,0,0
308,9,-5,1,0,0
309,-4,-14,1,0,0
310,-18,0,1,0,0
311,-9,19,1,0,0
312,13,17,1,0,0
313,21,-3,1,0,0
314,7,-19,1,0,0
315,-13,-15,1,0,0
316,-21,3,1,0,0
317,-12,18,1,0,0
318,6,22,1,0,0
319,19,11,1,0,0
320,21,-5,1,0,0
321,11,-17,1,0,0
322,-4,-20,1,0,0
323,-15,-15,1,0,0
324,-21,-3,1,0,0
325,-20,8,1,0,0
326,-13,17,1,0,0
327,-5,21,1,0,0
328,4,22,1,0,0
329,11,19,1,0,0
330,16,14,1,0,0
331,19,9,1,0,0
332,21,5,1,0,0
333,21,1,1,0,0
334,21,-3,1,0,0
335,20,-4,1,0,0
336,18,-4,1,0,0
337,14,-4,1,0,0
338,11,-3,1,0,0
339,7,-1,1,0,0
340,3,1,1,0,0
341,1,1,1,0,0
342,0,0,1,0,0
343,1,1,1,0,0
344,3,1,1,0,0
345,7,-1,1,0,0
346,11,-3,1,0,0
347,14,-4,1,0,0
348,18,-4,1,0,0
349,20,-4,1,0,0
350,21,-3,1,0,0
351,21,1,1,0,0
352,21,5,1,0,0
353,19,9,1,0,0
354,16,14,1,0,0
355,11,19,1,0,0
356,4,22,1,0,0
357,-5,21,1,0,0
358,-13,17,1,0,0
359,-20,8,1,0,0
360,-21,-3,1,0,0
361,-15,-15,1,0,0
362,-4,-20,1,0,0
363,11,-17,1,0,0
364,21,-5,1,0,0
365,19,11,1,0,0
366,6,22,1,0,0
367,-12,18,1,0,0
368,-21,3,1,0,0
369,-13,-15,1,0,0
370,7,-19,1,0,0
371,21,-3,1,0,0
372,13,17,1,0,0
373,-9,19,1,0,0
374,-18,0,1,0,0
375,-4,-14,1,0,0
376,9,-5,1,0,0
377,6,6,1,0,0
378,-2,4,1,0,0
379,-1,1,1,0,0
380,0,0,1,0,0
381,0,0,1,0,0
382,3,-1,1,0,0
383,5,7,1,0,0
384,-6,10,1,0,0
385,-15,-3,1,0,0
386,-1,-17,1,0,0
387,18,-8,1,0,0
388,16,14,1,0,0
389,-4,22,1,0,0
390,-20,8,1,0,0
391,-16,-12,1,0,0
392,2,-20,1,0,0
393,17,-11,1,0,0
394,21,7,1,0,0
395,10,20,1,0,0
396,-6,22,1,0,0
397,-18,12,1,0,0
398,-21,-3,1,0,0
399,-15,-15,1,0,0
400,-4,-20,1,0,0
401,7,-19,1,0,0
402,16,-12,1,0,0
403,20,-4,1,0,0
404,21,5,1,0,0
405,18,12,1,0,0
406,13,17,1,0,0
407,8,20,1,0,0
408,4,22,1,0,0
409,0,22,1,0,0
410,-4,22,1,0,0
411,-5,21,1,0,0
412,-5,19,1,0,0
413,-5,15,1,0,0
414,-4,12,1,0,0
415,-2,8,1,0,0
416,0,4,1,0,0
417,0,2,1,0,0
418,0,0,1,0,0
419,0,2,1,0,0
420,0,4,1,0,0
421,-2,8,1,0,0
422,-4,12,1,0,0
423,-5,15,1,0,0
424,-5,19,1,0,0
425,-5,21,1,0,0
426,-4,22,1,0,0
427,0,22,1,0,0
428,4,22,1,0,0
429,8,20,1,0,0
430,13,17,1,0,0
431,18,12,1,0,0
432,21,5,1,0,0
433,20,-4,1,0,0
434,16,-12,1,0,0
435,7,-19,1,0,0
436,-4,-20,1,0,0
437,-15,-15,1,0,0
438,-21,-3,1,0,0
439,-18,12,1,0,0
440,-6,22,1,0,0
441,10,20,1,0,0
442,21,7,1,0,0
